Object detected on Camera: 1718796924.646199
Object detected on Camera: 1718796924.687294
Object detected on Camera: 1718796924.711295
Object detected on Camera: 1718796949.684235
Object detected on Camera: 1718796949.721839
Object detected on Camera: 1718796949.784313
Object detected on Camera: 1718796949.822517
Object detected on Camera: 1718796950.284727
Object detected on Camera: 1718796950.450810
Object detected on Camera: 1718796950.493945
Object detected on Camera: 1718796950.514620
Object detected on Camera: 1718796950.552014
Object detected on Camera: 1718796950.593121
Object detected on Camera: 1718796950.618814
Object detected on Camera: 1718796950.691329
Object detected on Camera: 1718796950.915095
Object detected on Camera: 1718796950.993466
Object detected on Camera: 1718796951.014587
Object detected on Camera: 1718796951.093475
Object detected on Camera: 1718796951.114732
Object detected on Camera: 1718796951.114807
Object detected on Camera: 1718796951.152496
Object detected on Camera: 1718796951.152586
Object detected on Camera: 1718796951.193695
Object detected on Camera: 1718796951.193796
Object detected on Camera: 1718796951.214946
Object detected on Camera: 1718796951.215072
Object detected on Camera: 1718796951.252226
Object detected on Camera: 1718796951.293049
Object detected on Camera: 1718796951.314173
Object detected on Camera: 1718796951.351750
Object detected on Camera: 1718796951.419829
Object detected on Camera: 1718796951.419941
Object detected on Camera: 1718796951.438889
Object detected on Camera: 1718796951.456323
Object detected on Camera: 1718796951.493165
Object detected on Camera: 1718796951.514144
Object detected on Camera: 1718796951.553747
Object detected on Camera: 1718796951.599761
Object detected on Camera: 1718796951.615626
Object detected on Camera: 1718796951.615953
Object detected on Camera: 1718796951.651643
Object detected on Camera: 1718796951.651747
Object detected on Camera: 1718796951.691936
Object detected on Camera: 1718796951.692060
Object detected on Camera: 1718796951.717555
Object detected on Camera: 1718796951.717741
Object detected on Camera: 1718796951.751432
Object detected on Camera: 1718796951.795125
Object detected on Camera: 1718796951.815366
Object detected on Camera: 1718796951.853407
Object detected on Camera: 1718796951.891829
Object detected on Camera: 1718796951.917311
Object detected on Camera: 1718796951.951528
Object detected on Camera: 1718796951.994773
Object detected on Camera: 1718796952.014810
Object detected on Camera: 1718796952.053190
Object detected on Camera: 1718796952.091668
Object detected on Camera: 1718796952.116982
Object detected on Camera: 1718796952.153333
Object detected on Camera: 1718796952.194246
Object detected on Camera: 1718796952.216965
Object detected on Camera: 1718796952.251126
Object detected on Camera: 1718796952.294392
Object detected on Camera: 1718796952.315650
Object detected on Camera: 1718796952.315755
Object detected on Camera: 1718796952.353015
Object detected on Camera: 1718796952.353110
Object detected on Camera: 1718796952.419210
Object detected on Camera: 1718796952.419302
Object detected on Camera: 1718796952.437883
Object detected on Camera: 1718796952.438050
Object detected on Camera: 1718796952.457176
Object detected on Camera: 1718796952.457319
Object detected on Camera: 1718796952.493519
Object detected on Camera: 1718796952.493659
Object detected on Camera: 1718796952.514706
Object detected on Camera: 1718796952.514823
Object detected on Camera: 1718796952.553970
Object detected on Camera: 1718796952.554095
Object detected on Camera: 1718796952.592369
Object detected on Camera: 1718796952.592501
Object detected on Camera: 1718796952.618367
Object detected on Camera: 1718796952.651284
Object detected on lidar: 1718796952.680477
Object detected on Camera: 1718796952.695181
Object detected on Camera: 1718796952.714643
